State,Gain,Loss,Ratio,CLI
Alabama,109301,98194,1.113112817,89.3
Alaska,32099,39246,0.817892269,129.9
Arizona,273714,179586,1.524138853,97
Arkansas,73179,69724,1.049552521,86.9
California,501023,691145,0.724917347,151.7
Colorado,239153,203460,1.17543006,105.6
Connecticut,84718,114235,0.74161159,127.7
Delaware,34451,33395,1.0316215,108.1
District of Columbia ,47555,60363,0.78781704,158.4
Florida,587261,470977,1.24689953,97.9
Georgia,274273,231337,1.185599364,89.2
Hawaii,54074,67293,0.803560549,192.9
Idaho,79765,55183,1.445463277,92.3
Illinois,206620,305033,0.677369334,94.5
Indiana,145256,136563,1.063655602,90
Iowa,74199,70659,1.050099775,90.1
Kansas,95748,96850,0.98862158,89
Kentucky,110456,100514,1.098911594,90.9
Louisiana,81355,95326,0.853439775,93.9
Maine,34706,25012,1.387573964,117.5
Maryland,163216,182323,0.89520247,129.7
Massachusetts,144042,179017,0.804627493,131.6
Michigan,139276,152605,0.912656859,88.9
Minnesota,100270,112228,0.89344905,101.6
Mississippi,68000,76567,0.888111066,86.1
Missouri,152326,174949,0.870688029,87.1
Montana,43375,35292,1.229032075,106.9
Nebraska,54579,54462,1.002148287,90.8
Nevada,127362,89791,1.418427237,108.5
New Hampshire,48367,43633,1.108495863,109.7
New Jersey,159846,231321,0.691013786,125.1
New Mexico,60068,74459,0.806725849,87.5
New York,254447,458014,0.555544154,139.1
North Carolina,318681,238947,1.333689061,94.9
North Dakota,33735,33006,1.022086893,98.8
Ohio,198026,206948,0.956887721,90.8
Oklahoma,106943,97474,1.097143854,87
Oregon,140627,132698,1.059752219,134.2
Pennsylvania,253520,240832,1.052684029,101.7
Rhode Island,32841,31423,1.045126181,119.4
South Carolina,186505,141258,1.320314602,95.9
South Dakota,26775,28747,0.931401538,99.8
Tennessee,209377,173250,1.208525253,88.7
Texas,563945,462140,1.220290388,91.5
Utah,100824,91741,1.099006987,98.4
Vermont,26306,20832,1.262768817,114.5
Virginia,274003,262345,1.044437668,100.7
Washington,260906,222472,1.172758819,110.7
West Virginia,43841,46546,0.941885447,91.1
Wisconsin,114613,105789,1.083411319,97.3
Wyoming,25734,26078,0.986808804,89.3
